Feature Number,Delivery Target,Dev Status,PRD Status,Name,Description (what?),ARR - Blocked,ARR - Promised,ARR - Would Use,Product Lead,Customers - Blocked,Hours Saved/Lot Spec,Customers - Would Use,Squad,External Size,Linear Link,Contingent On,Customers,Hours Saved/CDM,Hours Saved/Home Plan,"Identified KPI ",Parent item,Justification (why?),Customers - Promised,Pre-req for,Sub-item,Theme,Total CDM Hours Saved,Total Home Plan Hours Saved,Total Home Plans,Total Lot Spec Hours Saved,Total Lot Specs/Year,Cycle Link,Global Score,Reach - All Customers,Top Project,[1] ARR - Blocked,[1] ARR - Would Use,[1] Confidence,[1] Impact,[1] Manual Rank (Adoptanauts),[1] Reach,[1] Score,[2] ARR - Blocked,[2] ARR - Would Use,[2] Confidence,[2] Impact,[2] Manual Rank,[2] Reach,[2] Score,[3] ARR - Blocked,"[3] ARR - Would Use ",[3] Confidence,[3] Impact,[3] Reach,[3] Score,[4] ARR - Blocked,[4] ARR - Would Use,[4] Confidence,[4] Impact,[4] Reach,[4] Score
BG-01,2024 Q4,Launched,Done,Automated Dim Modifiers - Exterior + Foundations,"Users can select, hide, and modify generated dimensions. Only for Exterior and Foundation Dimension Systems.",609800,0,6083335,Abe Drechsler,"Lowder New Homes (https://www.notion.so/Lowder-New-Homes-134e5ccdec308069af6be30ae148eee6?pvs=21), Tim O’Brien Homes (https://www.notion.so/Tim-O-Brien-Homes-134e5ccdec3080dd9defd455a700e8e1?pvs=21), William Ryan Homes (https://www.notion.so/William-Ryan-Homes-134e5ccdec30807598fad516c7cb42d9?pvs=21)",1,"Kiella Homebuilders (https://www.notion.so/Kiella-Homebuilders-134e5ccdec30801aa46ef481e7da2a54?pvs=21), Tim O’Brien Homes (https://www.notion.so/Tim-O-Brien-Homes-134e5ccdec3080dd9defd455a700e8e1?pvs=21), Highland Homes Inc. (https://www.notion.so/Highland-Homes-Inc-134e5ccdec30808ab26bf3b17bdbac1a?pvs=21), Tilson Homes (https://www.notion.so/Tilson-Homes-134e5ccdec3080a08c6fdf269d784ae9?pvs=21), Capital Homes (https://www.notion.so/Capital-Homes-1f4064e3a96a4dc0babca31deea25712?pvs=21), Epcon (https://www.notion.so/Epcon-847bea5179a5441dbce07c9c7fb7a654?pvs=21), William Ryan Homes (https://www.notion.so/William-Ryan-Homes-134e5ccdec30807598fad516c7cb42d9?pvs=21), Signature Homes (https://www.notion.so/Signature-Homes-134e5ccdec3080ea84d2e8d92f0fb6de?pvs=21), Boulder Creek Neighborhoods (https://www.notion.so/Boulder-Creek-Neighborhoods-134e5ccdec3080cc99e1d085725c1e50?pvs=21), Eddy Homes (https://www.notion.so/Eddy-Homes-134e5ccdec308027b868e93461e83928?pvs=21), Landmark 24 (https://www.notion.so/Landmark-24-134e5ccdec30801b8ad1fa51a6480198?pvs=21), Buffington (https://www.notion.so/Buffington-b728c54635aa44ec8b419978bc7a28e1?pvs=21), Pulte Group (https://www.notion.so/Pulte-Group-134e5ccdec30804da0ddea2a1bd691b0?pvs=21), Maronda Homes (https://www.notion.so/Maronda-Homes-134e5ccdec3080c597b3f8119d0e4d16?pvs=21), New Home Inc. (https://www.notion.so/New-Home-Inc-134e5ccdec30808ba224f8b44a66e608?pvs=21), Taylor Morrison of Indiana (https://www.notion.so/Taylor-Morrison-of-Indiana-134e5ccdec3080a68aace00f30775ee4?pvs=21), Lowder New Homes (https://www.notion.so/Lowder-New-Homes-134e5ccdec308069af6be30ae148eee6?pvs=21), Schumacher Homes (https://www.notion.so/Schumacher-Homes-134e5ccdec30807b9140ea9999a6dea3?pvs=21), Ashlar Homes (https://www.notion.so/Ashlar-Homes-134e5ccdec308032a82ee27bfce0f1e1?pvs=21), Value Build Homes (https://www.notion.so/Value-Build-Homes-134e5ccdec3080f8b3b3c432bac222ec?pvs=21), Nilson Homes (https://www.notion.so/Nilson-Homes-134e5ccdec30801fa559cc5859c9d021?pvs=21)",Building Gen,,,,21,,,"Hours of IMP time saved per Home File, Hours of IMP time saved per lot spec, Utilized ARR",,Allows A&D to avoid extremely common redline on CD sets. They have very limited options to avoid this issue today.,,"Automated Dim Modifiers - Interior (https://www.notion.so/Automated-Dim-Modifiers-Interior-136e5ccdec3080718526d4475ff0265b?pvs=21), Automated Dim Modifiers - Misc Dim Systems (https://www.notion.so/Automated-Dim-Modifiers-Misc-Dim-Systems-149e5ccdec3080388582f97bd301ed41?pvs=21)",,Faster and Easier CDs,0,0,205,37365,37365,,0,6693135,,0,2560435,,,,640108.75,0,0,138100,,,,34525,0,150000,775000,,,328750,0,349000,2499000,,,938850,0
BG-02,2024 Q4,Launched,Done,Automated Dim Modifiers - Interior,"Users can select, hide, and modify generated dimensions. For Interior Dimension Systems.",609800,0,6083335,Abe Drechsler,"Lowder New Homes (https://www.notion.so/Lowder-New-Homes-134e5ccdec308069af6be30ae148eee6?pvs=21), Tim O’Brien Homes (https://www.notion.so/Tim-O-Brien-Homes-134e5ccdec3080dd9defd455a700e8e1?pvs=21), William Ryan Homes (https://www.notion.so/William-Ryan-Homes-134e5ccdec30807598fad516c7cb42d9?pvs=21)",1,"Kiella Homebuilders (https://www.notion.so/Kiella-Homebuilders-134e5ccdec30801aa46ef481e7da2a54?pvs=21), Tim O’Brien Homes (https://www.notion.so/Tim-O-Brien-Homes-134e5ccdec3080dd9defd455a700e8e1?pvs=21), Highland Homes Inc. (https://www.notion.so/Highland-Homes-Inc-134e5ccdec30808ab26bf3b17bdbac1a?pvs=21), Tilson Homes (https://www.notion.so/Tilson-Homes-134e5ccdec3080a08c6fdf269d784ae9?pvs=21), Capital Homes (https://www.notion.so/Capital-Homes-1f4064e3a96a4dc0babca31deea25712?pvs=21), Epcon (https://www.notion.so/Epcon-847bea5179a5441dbce07c9c7fb7a654?pvs=21), William Ryan Homes (https://www.notion.so/William-Ryan-Homes-134e5ccdec30807598fad516c7cb42d9?pvs=21), Signature Homes (https://www.notion.so/Signature-Homes-134e5ccdec3080ea84d2e8d92f0fb6de?pvs=21), Boulder Creek Neighborhoods (https://www.notion.so/Boulder-Creek-Neighborhoods-134e5ccdec3080cc99e1d085725c1e50?pvs=21), Eddy Homes (https://www.notion.so/Eddy-Homes-134e5ccdec308027b868e93461e83928?pvs=21), Landmark 24 (https://www.notion.so/Landmark-24-134e5ccdec30801b8ad1fa51a6480198?pvs=21), Buffington (https://www.notion.so/Buffington-b728c54635aa44ec8b419978bc7a28e1?pvs=21), Pulte Group (https://www.notion.so/Pulte-Group-134e5ccdec30804da0ddea2a1bd691b0?pvs=21), Maronda Homes (https://www.notion.so/Maronda-Homes-134e5ccdec3080c597b3f8119d0e4d16?pvs=21), New Home Inc. (https://www.notion.so/New-Home-Inc-134e5ccdec30808ba224f8b44a66e608?pvs=21), Taylor Morrison of Indiana (https://www.notion.so/Taylor-Morrison-of-Indiana-134e5ccdec3080a68aace00f30775ee4?pvs=21), Lowder New Homes (https://www.notion.so/Lowder-New-Homes-134e5ccdec308069af6be30ae148eee6?pvs=21), Schumacher Homes (https://www.notion.so/Schumacher-Homes-134e5ccdec30807b9140ea9999a6dea3?pvs=21), Nilson Homes (https://www.notion.so/Nilson-Homes-134e5ccdec30801fa559cc5859c9d021?pvs=21), Value Build Homes (https://www.notion.so/Value-Build-Homes-134e5ccdec3080f8b3b3c432bac222ec?pvs=21), Ashlar Homes (https://www.notion.so/Ashlar-Homes-134e5ccdec308032a82ee27bfce0f1e1?pvs=21)",Building Gen,,https://linear.app/higharc/project/automated-dimension-modifiers-additional-dimensioning-systems-b8ca5f469f99/overview,Automated Dim Modifiers - Exterior + Foundations (https://www.notion.so/Automated-Dim-Modifiers-Exterior-Foundations-134e5ccdec308014aa5eefef8dc8add2?pvs=21),21,,,"Hours of IMP time saved per Home File, Hours of IMP time saved per lot spec, Utilized ARR",,Allows A&D to avoid extremely common redline on CD sets. They have very limited options to avoid this issue today.,,Automated Dim Modifiers - Misc Dim Systems (https://www.notion.so/Automated-Dim-Modifiers-Misc-Dim-Systems-149e5ccdec3080388582f97bd301ed41?pvs=21),,Faster and Easier CDs,0,0,205,37365,37365,,0,6693135,,0,2560435,,,,640108.75,0,0,138100,,,,34525,0,150000,775000,,,328750,0,349000,2499000,,,938850,0
BG-03,,Roadmap Candidate,Done,Automated Dim Modifiers - Misc Dim Systems,"Users can select, hide, and modify generated dimensions. For Misc Dimensioning systems including: Utility Plans, Roof Plans, Exterior Elevations, and Building Sections.",854000,0,7445335,Abe Drechsler,"MonteVista (https://www.notion.so/MonteVista-173e5ccdec30809eaa19e9886739c82c?pvs=21), Mid-Atlantic Builders (https://www.notion.so/Mid-Atlantic-Builders-185e5ccdec30807fbf1fdbf07db637c2?pvs=21), Creative Homes (https://www.notion.so/Creative-Homes-21be5ccdec3080eb9248e7468daa607d?pvs=21), Nilson Homes (https://www.notion.so/Nilson-Homes-134e5ccdec30801fa559cc5859c9d021?pvs=21)",1,"Kiella Homebuilders (https://www.notion.so/Kiella-Homebuilders-134e5ccdec30801aa46ef481e7da2a54?pvs=21), Tim O’Brien Homes (https://www.notion.so/Tim-O-Brien-Homes-134e5ccdec3080dd9defd455a700e8e1?pvs=21), Highland Homes Inc. (https://www.notion.so/Highland-Homes-Inc-134e5ccdec30808ab26bf3b17bdbac1a?pvs=21), Tilson Homes (https://www.notion.so/Tilson-Homes-134e5ccdec3080a08c6fdf269d784ae9?pvs=21), Capital Homes (https://www.notion.so/Capital-Homes-1f4064e3a96a4dc0babca31deea25712?pvs=21), Epcon (https://www.notion.so/Epcon-847bea5179a5441dbce07c9c7fb7a654?pvs=21), William Ryan Homes (https://www.notion.so/William-Ryan-Homes-134e5ccdec30807598fad516c7cb42d9?pvs=21), Signature Homes (https://www.notion.so/Signature-Homes-134e5ccdec3080ea84d2e8d92f0fb6de?pvs=21), Boulder Creek Neighborhoods (https://www.notion.so/Boulder-Creek-Neighborhoods-134e5ccdec3080cc99e1d085725c1e50?pvs=21), Eddy Homes (https://www.notion.so/Eddy-Homes-134e5ccdec308027b868e93461e83928?pvs=21), Landmark 24 (https://www.notion.so/Landmark-24-134e5ccdec30801b8ad1fa51a6480198?pvs=21), Buffington (https://www.notion.so/Buffington-b728c54635aa44ec8b419978bc7a28e1?pvs=21), Pulte Group (https://www.notion.so/Pulte-Group-134e5ccdec30804da0ddea2a1bd691b0?pvs=21), Maronda Homes (https://www.notion.so/Maronda-Homes-134e5ccdec3080c597b3f8119d0e4d16?pvs=21), New Home Inc. (https://www.notion.so/New-Home-Inc-134e5ccdec30808ba224f8b44a66e608?pvs=21), Taylor Morrison of Indiana (https://www.notion.so/Taylor-Morrison-of-Indiana-134e5ccdec3080a68aace00f30775ee4?pvs=21), Lowder New Homes (https://www.notion.so/Lowder-New-Homes-134e5ccdec308069af6be30ae148eee6?pvs=21), Schumacher Homes (https://www.notion.so/Schumacher-Homes-134e5ccdec30807b9140ea9999a6dea3?pvs=21), Ashlar Homes (https://www.notion.so/Ashlar-Homes-134e5ccdec308032a82ee27bfce0f1e1?pvs=21), Value Build Homes (https://www.notion.so/Value-Build-Homes-134e5ccdec3080f8b3b3c432bac222ec?pvs=21), Nilson Homes (https://www.notion.so/Nilson-Homes-134e5ccdec30801fa559cc5859c9d021?pvs=21), New Leaf Builders (https://www.notion.so/New-Leaf-Builders-185e5ccdec3080be99faca40732731bf?pvs=21), BC Stone (https://www.notion.so/BC-Stone-20fe5ccdec3080d485c2f9f53a96b695?pvs=21), Calbridge (https://www.notion.so/Calbridge-21be5ccdec308041a8eaebfde881aadb?pvs=21), Choice Builders (Epcon) (https://www.notion.so/Choice-Builders-Epcon-21be5ccdec3080d7b318d0d7b74ce85d?pvs=21), MonteVista (https://www.notion.so/MonteVista-173e5ccdec30809eaa19e9886739c82c?pvs=21), Riverwood (https://www.notion.so/Riverwood-21be5ccdec3080449f3ae867e8623700?pvs=21), Creative Homes (https://www.notion.so/Creative-Homes-21be5ccdec3080eb9248e7468daa607d?pvs=21), Mid-Atlantic Builders (https://www.notion.so/Mid-Atlantic-Builders-185e5ccdec30807fbf1fdbf07db637c2?pvs=21)",Building Gen,,https://linear.app/higharc/project/automated-dimension-modifiers-additional-dimensioning-systems-b8ca5f469f99/overview,"Automated Dim Modifiers - Exterior + Foundations (https://www.notion.so/Automated-Dim-Modifiers-Exterior-Foundations-134e5ccdec308014aa5eefef8dc8add2?pvs=21), Automated Dim Modifiers - Interior (https://www.notion.so/Automated-Dim-Modifiers-Interior-136e5ccdec3080718526d4475ff0265b?pvs=21)",29,,,"Hours of IMP time saved per Home File, Hours of IMP time saved per lot spec, Utilized ARR",,"Allows users to hide or modify all automated dimensions, not just some.",,,,Faster and Easier CDs,0,0,277,38250,38250,,8.71875,8299335,No,0,2560435,,,,640108.75,0,504000,1425100,,,,809875,0,0,775000,90%,5,193750,8.71875,350000,2574000,,,958500,0
BG-04,2024 Q4,In Development,Done,Datums - Centralize Existing,"Move Foundation, Facade and Level Datums to a centralized location in the Explorer. These datums should always be enabled, and should be sharable betweeen files.",0,0,8426187,Abe Drechsler,,0.5,"Kiella Homebuilders (https://www.notion.so/Kiella-Homebuilders-134e5ccdec30801aa46ef481e7da2a54?pvs=21), Lowder New Homes (https://www.notion.so/Lowder-New-Homes-134e5ccdec308069af6be30ae148eee6?pvs=21), Eddy Homes (https://www.notion.so/Eddy-Homes-134e5ccdec308027b868e93461e83928?pvs=21), William Ryan Homes (https://www.notion.so/William-Ryan-Homes-134e5ccdec30807598fad516c7cb42d9?pvs=21), Highland Homes Inc. (https://www.notion.so/Highland-Homes-Inc-134e5ccdec30808ab26bf3b17bdbac1a?pvs=21), Maronda Homes (https://www.notion.so/Maronda-Homes-134e5ccdec3080c597b3f8119d0e4d16?pvs=21), Panther Builders (https://www.notion.so/Panther-Builders-134e5ccdec3080b4a8d9da69a2c110b5?pvs=21), Landmark 24 (https://www.notion.so/Landmark-24-134e5ccdec30801b8ad1fa51a6480198?pvs=21), Signature Homes (https://www.notion.so/Signature-Homes-134e5ccdec3080ea84d2e8d92f0fb6de?pvs=21), New Home Inc. (https://www.notion.so/New-Home-Inc-134e5ccdec30808ba224f8b44a66e608?pvs=21), Taylor Morrison of Indiana (https://www.notion.so/Taylor-Morrison-of-Indiana-134e5ccdec3080a68aace00f30775ee4?pvs=21), Schumacher Homes (https://www.notion.so/Schumacher-Homes-134e5ccdec30807b9140ea9999a6dea3?pvs=21), HistoryMaker Homes (https://www.notion.so/HistoryMaker-Homes-134e5ccdec3080a1a924fd32f8616fad?pvs=21), Pulte Group (https://www.notion.so/Pulte-Group-134e5ccdec30804da0ddea2a1bd691b0?pvs=21), Tilson Homes (https://www.notion.so/Tilson-Homes-134e5ccdec3080a08c6fdf269d784ae9?pvs=21), Nilson Homes (https://www.notion.so/Nilson-Homes-134e5ccdec30801fa559cc5859c9d021?pvs=21), Value Build Homes (https://www.notion.so/Value-Build-Homes-134e5ccdec3080f8b3b3c432bac222ec?pvs=21), Ashlar Homes (https://www.notion.so/Ashlar-Homes-134e5ccdec308032a82ee27bfce0f1e1?pvs=21), Sage Homes (https://www.notion.so/Sage-Homes-134e5ccdec3080c39f12eb757102543e?pvs=21), EGStoltzfus Homes (https://www.notion.so/EGStoltzfus-Homes-134e5ccdec3080808e40e0cbf6e0d7e4?pvs=21), Madison Homebuilders (https://www.notion.so/Madison-Homebuilders-164e5ccdec308031a2e6fa356825ead6?pvs=21), Tim O’Brien Homes (https://www.notion.so/Tim-O-Brien-Homes-134e5ccdec3080dd9defd455a700e8e1?pvs=21), Epcon (https://www.notion.so/Epcon-847bea5179a5441dbce07c9c7fb7a654?pvs=21), Rock Creek (https://www.notion.so/Rock-Creek-134e5ccdec3080749f56c140edaaa749?pvs=21), Ashburn Homes (https://www.notion.so/Ashburn-Homes-134e5ccdec3080f9a753cd80e1fb7e71?pvs=21), Boulder Creek Neighborhoods (https://www.notion.so/Boulder-Creek-Neighborhoods-134e5ccdec3080cc99e1d085725c1e50?pvs=21), Legacy South (https://www.notion.so/Legacy-South-134e5ccdec30808ca620f55f0926f768?pvs=21), Telesis (https://www.notion.so/Telesis-160e5ccdec30800a8823c7e59e444a6b?pvs=21), Buffington (https://www.notion.so/Buffington-b728c54635aa44ec8b419978bc7a28e1?pvs=21), Capital Homes (https://www.notion.so/Capital-Homes-1f4064e3a96a4dc0babca31deea25712?pvs=21), MonteVista (https://www.notion.so/MonteVista-173e5ccdec30809eaa19e9886739c82c?pvs=21), United Built Homes (https://www.notion.so/United-Built-Homes-134e5ccdec30803fa566c5f7b4f5c6c7?pvs=21)",Building Gen,,https://linear.app/higharc/project/move-datums-to-doc-entity-table-9295ffc73e9c/overview,,32,,,"Future Hours Saved, Hours of IMP time saved per Home File",,Unlocks our ability to build more user facing datum features.,,"Wall Height Controls (https://www.notion.so/Wall-Height-Controls-135e5ccdec308017b8b2e7346958f910?pvs=21), Datums - Origin Relative Datums (https://www.notion.so/Datums-Origin-Relative-Datums-152e5ccdec3080998c1df73cbc432c3b?pvs=21), Datums - Level Improvements (https://www.notion.so/Datums-Level-Improvements-193e5ccdec3080dbbd18f36703c14db3?pvs=21)",,Organization and Framework,0,0,306,20027.5,40055,,0,8426187,,0,2880435,,,,720108.75,0,0,662100,,,,165525,0,0,1815952,,,453988,0,0,2956900,,,739225,0
BG-05,,In Development,Done,Datums - Origin Relative Datums,"Users will be able to create datums that are absolutely located (defined by relative position to the origin point). They will be able to share those datums between facades, foundations, stairs, and windows.",2376200,0,8873287,Abe Drechsler,"Calbridge (https://www.notion.so/Calbridge-21be5ccdec308041a8eaebfde881aadb?pvs=21), Ashlar Homes (https://www.notion.so/Ashlar-Homes-134e5ccdec308032a82ee27bfce0f1e1?pvs=21), Creative Homes (https://www.notion.so/Creative-Homes-21be5ccdec3080eb9248e7468daa607d?pvs=21), Eastwood Homes (https://www.notion.so/Eastwood-Homes-21be5ccdec3080f4b614d5430cd4871f?pvs=21), Crystal Creek (https://www.notion.so/Crystal-Creek-161e5ccdec30806b9e11edc18e5d118b?pvs=21), Nilson Homes (https://www.notion.so/Nilson-Homes-134e5ccdec30801fa559cc5859c9d021?pvs=21)",0.5,"Kiella Homebuilders (https://www.notion.so/Kiella-Homebuilders-134e5ccdec30801aa46ef481e7da2a54?pvs=21), Lowder New Homes (https://www.notion.so/Lowder-New-Homes-134e5ccdec308069af6be30ae148eee6?pvs=21), Eddy Homes (https://www.notion.so/Eddy-Homes-134e5ccdec308027b868e93461e83928?pvs=21), William Ryan Homes (https://www.notion.so/William-Ryan-Homes-134e5ccdec30807598fad516c7cb42d9?pvs=21), Highland Homes Inc. (https://www.notion.so/Highland-Homes-Inc-134e5ccdec30808ab26bf3b17bdbac1a?pvs=21), Maronda Homes (https://www.notion.so/Maronda-Homes-134e5ccdec3080c597b3f8119d0e4d16?pvs=21), Panther Builders (https://www.notion.so/Panther-Builders-134e5ccdec3080b4a8d9da69a2c110b5?pvs=21), Landmark 24 (https://www.notion.so/Landmark-24-134e5ccdec30801b8ad1fa51a6480198?pvs=21), Signature Homes (https://www.notion.so/Signature-Homes-134e5ccdec3080ea84d2e8d92f0fb6de?pvs=21), New Home Inc. (https://www.notion.so/New-Home-Inc-134e5ccdec30808ba224f8b44a66e608?pvs=21), Taylor Morrison of Indiana (https://www.notion.so/Taylor-Morrison-of-Indiana-134e5ccdec3080a68aace00f30775ee4?pvs=21), Schumacher Homes (https://www.notion.so/Schumacher-Homes-134e5ccdec30807b9140ea9999a6dea3?pvs=21), HistoryMaker Homes (https://www.notion.so/HistoryMaker-Homes-134e5ccdec3080a1a924fd32f8616fad?pvs=21), Pulte Group (https://www.notion.so/Pulte-Group-134e5ccdec30804da0ddea2a1bd691b0?pvs=21), Tilson Homes (https://www.notion.so/Tilson-Homes-134e5ccdec3080a08c6fdf269d784ae9?pvs=21), Value Build Homes (https://www.notion.so/Value-Build-Homes-134e5ccdec3080f8b3b3c432bac222ec?pvs=21), Ashlar Homes (https://www.notion.so/Ashlar-Homes-134e5ccdec308032a82ee27bfce0f1e1?pvs=21), Sage Homes (https://www.notion.so/Sage-Homes-134e5ccdec3080c39f12eb757102543e?pvs=21), EGStoltzfus Homes (https://www.notion.so/EGStoltzfus-Homes-134e5ccdec3080808e40e0cbf6e0d7e4?pvs=21), Madison Homebuilders (https://www.notion.so/Madison-Homebuilders-164e5ccdec308031a2e6fa356825ead6?pvs=21), Tim O’Brien Homes (https://www.notion.so/Tim-O-Brien-Homes-134e5ccdec3080dd9defd455a700e8e1?pvs=21), Epcon (https://www.notion.so/Epcon-847bea5179a5441dbce07c9c7fb7a654?pvs=21), Rock Creek (https://www.notion.so/Rock-Creek-134e5ccdec3080749f56c140edaaa749?pvs=21), Ashburn Homes (https://www.notion.so/Ashburn-Homes-134e5ccdec3080f9a753cd80e1fb7e71?pvs=21), Boulder Creek Neighborhoods (https://www.notion.so/Boulder-Creek-Neighborhoods-134e5ccdec3080cc99e1d085725c1e50?pvs=21), Legacy South (https://www.notion.so/Legacy-South-134e5ccdec30808ca620f55f0926f768?pvs=21), Telesis (https://www.notion.so/Telesis-160e5ccdec30800a8823c7e59e444a6b?pvs=21), Buffington (https://www.notion.so/Buffington-b728c54635aa44ec8b419978bc7a28e1?pvs=21), Capital Homes (https://www.notion.so/Capital-Homes-1f4064e3a96a4dc0babca31deea25712?pvs=21), Crystal Creek (https://www.notion.so/Crystal-Creek-161e5ccdec30806b9e11edc18e5d118b?pvs=21), MonteVista (https://www.notion.so/MonteVista-173e5ccdec30809eaa19e9886739c82c?pvs=21), United Built Homes (https://www.notion.so/United-Built-Homes-134e5ccdec30803fa566c5f7b4f5c6c7?pvs=21), New Leaf Builders (https://www.notion.so/New-Leaf-Builders-185e5ccdec3080be99faca40732731bf?pvs=21), Mid-Atlantic Builders (https://www.notion.so/Mid-Atlantic-Builders-185e5ccdec30807fbf1fdbf07db637c2?pvs=21), Creative Homes (https://www.notion.so/Creative-Homes-21be5ccdec3080eb9248e7468daa607d?pvs=21), Riverwood (https://www.notion.so/Riverwood-21be5ccdec3080449f3ae867e8623700?pvs=21)",Building Gen,,https://linear.app/higharc/project/move-datums-to-doc-entity-table-9295ffc73e9c/overview,Datums - Centralize Existing (https://www.notion.so/Datums-Centralize-Existing-149e5ccdec3080b88fffc5636fc22524?pvs=21),36,,,Hours of IMP time saved per Home File,,Allows users to reference the same datum across various building systems.,,"Generic Asset Import (https://www.notion.so/Generic-Asset-Import-c19e3ab4adbc4bed908f8ba7e17f7d25?pvs=21), Generic Simple Extrusions (https://www.notion.so/Generic-Simple-Extrusions-191e5ccdec3080f09c8ef84023585184?pvs=21)",,Organization and Framework,0,0,342,20207.5,40415,,0,11249487,No,1541200,3017535,,,,2141463.75,0,485000,1322100,,,,767025,0,0,1815952,,,453988,0,350000,2606900,,,966725,0
BG-06,2025 Q3,Roadmap Candidate,In-Progress,Datums - Level Improvements,"Adjust existing notion of levels and datums to support overlapping levels and split level conditions. Update the way we generate basements and move levels accordingly. ",0,0,7702487,Abe Drechsler,,0.5,"Kiella Homebuilders (https://www.notion.so/Kiella-Homebuilders-134e5ccdec30801aa46ef481e7da2a54?pvs=21), Lowder New Homes (https://www.notion.so/Lowder-New-Homes-134e5ccdec308069af6be30ae148eee6?pvs=21), Eddy Homes (https://www.notion.so/Eddy-Homes-134e5ccdec308027b868e93461e83928?pvs=21), Maronda Homes (https://www.notion.so/Maronda-Homes-134e5ccdec3080c597b3f8119d0e4d16?pvs=21), Panther Builders (https://www.notion.so/Panther-Builders-134e5ccdec3080b4a8d9da69a2c110b5?pvs=21), Landmark 24 (https://www.notion.so/Landmark-24-134e5ccdec30801b8ad1fa51a6480198?pvs=21), Signature Homes (https://www.notion.so/Signature-Homes-134e5ccdec3080ea84d2e8d92f0fb6de?pvs=21), New Home Inc. (https://www.notion.so/New-Home-Inc-134e5ccdec30808ba224f8b44a66e608?pvs=21), Taylor Morrison of Indiana (https://www.notion.so/Taylor-Morrison-of-Indiana-134e5ccdec3080a68aace00f30775ee4?pvs=21), Schumacher Homes (https://www.notion.so/Schumacher-Homes-134e5ccdec30807b9140ea9999a6dea3?pvs=21), HistoryMaker Homes (https://www.notion.so/HistoryMaker-Homes-134e5ccdec3080a1a924fd32f8616fad?pvs=21), Pulte Group (https://www.notion.so/Pulte-Group-134e5ccdec30804da0ddea2a1bd691b0?pvs=21), Tilson Homes (https://www.notion.so/Tilson-Homes-134e5ccdec3080a08c6fdf269d784ae9?pvs=21), Nilson Homes (https://www.notion.so/Nilson-Homes-134e5ccdec30801fa559cc5859c9d021?pvs=21), Value Build Homes (https://www.notion.so/Value-Build-Homes-134e5ccdec3080f8b3b3c432bac222ec?pvs=21), Ashlar Homes (https://www.notion.so/Ashlar-Homes-134e5ccdec308032a82ee27bfce0f1e1?pvs=21), Sage Homes (https://www.notion.so/Sage-Homes-134e5ccdec3080c39f12eb757102543e?pvs=21), EGStoltzfus Homes (https://www.notion.so/EGStoltzfus-Homes-134e5ccdec3080808e40e0cbf6e0d7e4?pvs=21), Madison Homebuilders (https://www.notion.so/Madison-Homebuilders-164e5ccdec308031a2e6fa356825ead6?pvs=21), Tim O’Brien Homes (https://www.notion.so/Tim-O-Brien-Homes-134e5ccdec3080dd9defd455a700e8e1?pvs=21), Epcon (https://www.notion.so/Epcon-847bea5179a5441dbce07c9c7fb7a654?pvs=21), Rock Creek (https://www.notion.so/Rock-Creek-134e5ccdec3080749f56c140edaaa749?pvs=21), Ashburn Homes (https://www.notion.so/Ashburn-Homes-134e5ccdec3080f9a753cd80e1fb7e71?pvs=21), Boulder Creek Neighborhoods (https://www.notion.so/Boulder-Creek-Neighborhoods-134e5ccdec3080cc99e1d085725c1e50?pvs=21), Legacy South (https://www.notion.so/Legacy-South-134e5ccdec30808ca620f55f0926f768?pvs=21), Telesis (https://www.notion.so/Telesis-160e5ccdec30800a8823c7e59e444a6b?pvs=21), Buffington (https://www.notion.so/Buffington-b728c54635aa44ec8b419978bc7a28e1?pvs=21), Capital Homes (https://www.notion.so/Capital-Homes-1f4064e3a96a4dc0babca31deea25712?pvs=21), Crystal Creek (https://www.notion.so/Crystal-Creek-161e5ccdec30806b9e11edc18e5d118b?pvs=21), MonteVista (https://www.notion.so/MonteVista-173e5ccdec30809eaa19e9886739c82c?pvs=21), United Built Homes (https://www.notion.so/United-Built-Homes-134e5ccdec30803fa566c5f7b4f5c6c7?pvs=21)",Building Gen,,https://linear.app/higharc/project/move-datums-to-doc-entity-table-9295ffc73e9c/overview,Datums - Centralize Existing (https://www.notion.so/Datums-Centralize-Existing-149e5ccdec3080b88fffc5636fc22524?pvs=21),31,,,Hours of IMP time saved per Home File,,"Townhomes. Split Levels, multiple basement levels, exposed level controls",,"Generic Asset Import (https://www.notion.so/Generic-Asset-Import-c19e3ab4adbc4bed908f8ba7e17f7d25?pvs=21), Generic Simple Extrusions (https://www.notion.so/Generic-Simple-Extrusions-191e5ccdec3080f09c8ef84023585184?pvs=21)",,Organization and Framework,0,0,298,18377.5,36755,,5.793375,7702487,No,0,2267535,,,,566883.75,0,0,662100,70%,5,8,165525,5.793375,0,1815952,,,453988,0,0,2956900,,,739225,0
